bi_v1_11B_l4_law_04-30-15-38 t5-efficient-xxl-nl4
bi_v1_11B_law_03-01-20-08 t5-efficient-xxl
bi_v1_3B_l12_law_03-20-22-27 t5-efficient-xl-nl12
bi_v1_3B_l16_law_04-04-08-07 t5-efficient-xl-nl16
bi_v1_3B_l28_law_04-04-11-05 t5-efficient-xl-nl28
bi_v1_3B_l2_law_03-20-22-35 t5-efficient-xl-nl2
bi_v1_3B_l4_law_03-20-22-34 t5-efficient-xl-nl4
bi_v1_3B_l6_law_03-20-22-33 t5-efficient-xl-nl6
bi_v1_3B_l8_law_03-20-22-32 t5-efficient-xl-nl8
bi_v1_3B_law_02-14-20-23 t5-efficient-xl
bi_v1_3B_shared_law_03-18-10-43 t5-efficient-xl-sh
bi_v1_3B_skv_law_03-18-10-44 t5-efficient-xl-skv
bi_v1_bs_law_03-18-08-28 t5-efficient-base
bi_v1_d1k_law_03-17-21-10 t5-efficient-base-dm1000
bi_v1_d256_law_03-17-21-09 t5-efficient-base-dm256
bi_v1_d2k_law_03-12-03-01 t5-efficient-base-dm2000
bi_v1_d512_law_03-17-21-09 t5-efficient-base-dm512
bi_v1_dl2_law_03-16-20-52 t5-efficient-base-dl2
bi_v1_dl4_law_03-16-20-52 t5-efficient-base-dl4
bi_v1_dl6_law_03-16-20-54 t5-efficient-base-dl6
bi_v1_dl8_law_03-16-20-54 t5-efficient-base-dl8
bi_v1_el16_law_03-17-20-58 t5-efficient-base-el16
bi_v1_el2_law_03-17-20-51 t5-efficient-base-el2
bi_v1_el4_law_03-17-20-56 t5-efficient-base-el4
bi_v1_el6_law_03-17-20-56 t5-efficient-base-el6
bi_v1_el8_law_03-17-20-57 t5-efficient-base-el8
bi_v1_f12k_law_02-18-20-56 t5-efficient-base-ff12000
bi_v1_f1k_law_03-15-09-17 t5-efficient-base-ff1000
bi_v1_f2k_law_03-15-09-23 t5-efficient-base-ff2000
bi_v1_f6k_law_02-18-20-51 t5-efficient-base-ff6000
bi_v1_f9k_law_02-18-20-55 t5-efficient-base-ff9000
bi_v1_h16_law_03-03-19-44 t5-efficient-base-nh16
bi_v1_h24_law_03-03-19-44 t5-efficient-base-nh24
bi_v1_h32_law_03-03-19-42 t5-efficient-base-nh32
bi_v1_h8_law_03-03-19-43 t5-efficient-base-nh8
bi_v1_kv128_law_03-13-19-15 t5-efficient-base-kv128
bi_v1_kv16_law_03-13-19-09 t5-efficient-base-kv16
bi_v1_kv256_law_03-13-19-16 t5-efficient-base-kv256
bi_v1_kv32_law_03-13-19-14 t5-efficient-base-kv32
bi_v1_l16_law_02-20-20-00 t5-efficient-base-nl16
bi_v1_l24_law_02-20-20-01 t5-efficient-base-nl24
bi_v1_l2_law_02-20-19-54 t5-efficient-base-nl2
bi_v1_l32_law_03-15-11-01 t5-efficient-base-nl32
bi_v1_l36_law_02-21-20-57 t5-efficient-base-nl36
bi_v1_l40_law_04-04-09-09 t5-efficient-base-nl40
bi_v1_l48_law_04-04-10-33 t5-efficient-base-nl48
bi_v1_l4_law_02-20-19-59 t5-efficient-base-nl4
bi_v1_l8_law_02-21-20-56 t5-efficient-base-nl8
bi_v1_large_law_02-14-17-49 t5-efficient-large
bi_v1_law_02-14-16-54 t5-efficient-base
bi_v1_lg_d128_law_03-26-22-17 t5-efficient-large-dm128
bi_v1_lg_d256_law_03-26-22-19 t5-efficient-large-dm256
bi_v1_lg_d2k_law_03-26-22-22 t5-efficient-large-dm2000
bi_v1_lg_d512_law_03-26-22-19 t5-efficient-large-dm512
bi_v1_lg_d768_law_03-26-22-21 t5-efficient-large-dm768
bi_v1_lg_dl12_law_03-27-17-54 t5-efficient-large-dl12
bi_v1_lg_dl16_law_03-26-22-28 t5-efficient-large-dl16
bi_v1_lg_dl2_law_03-26-22-26 t5-efficient-large-dl2
bi_v1_lg_dl32_law_03-26-22-30 t5-efficient-large-dl32
bi_v1_lg_dl4_law_03-26-22-26 t5-efficient-large-dl4
